root||1|1.000000|0|0.000000|0.000000|1.000000|
physics||100|0.250000|1000000|0.150000|0.150000|0.850000|
chemistry||100|0.250000|2000000|0.300000|0.300000|0.700000|
biology||100|0.250000|500000|0.075000|0.075000|0.925000|
engineering||100|0.250000|1500000|0.225000|0.225000|0.775000|
physics|user9|50|0.125000|500000|0.075000|0.150000|0.850000|
physics|user10|50|0.125000|500000|0.075000|0.150000|0.850000|
chemistry|user11|50|0.125000|1000000|0.150000|0.300000|0.700000|
chemistry|user12|50|0.125000|1000000|0.150000|0.300000|0.700000|
biology|user13|100|0.250000|500000|0.075000|0.075000|0.925000|
engineering|user14|33|0.082500|500000|0.075000|0.225000|0.775000|
engineering|user15|33|0.082500|500000|0.075000|0.225000|0.775000|
engineering|user16|34|0.085000|500000|0.075000|0.225000|0.775000|
